year,world_rank,institution,country
2009,3,"University of California, Berkeley","United States"
2009,4,"University of Cambridge","United Kingdom"
2009,5,"Massachusetts Institute of Technology (MIT)","United States"
2009,6,"California Institute of Technology","United States"
2009,7,"Columbia University","United States"
2009,8,"Princeton University","United States"
2009,9,"University of Chicago","United States"
2009,10,"University of Oxford","United Kingdom"
2009,11,"Yale University","United States"
2009,12,"Cornell University","United States"
2009,13,"University of California, Los Angeles","United States"
2009,14,"University of California, San Diego","United States"
2009,15,"University of Pennsylvania","United States"
2009,16,"University of Washington","United States"
2009,17,"University of Wisconsin - Madison","United States"
2009,18,"University of California, San Francisco","United States"
2009,19,"The Johns Hopkins University","United States"
2009,20,"The University of Tokyo","Japan"
2009,21,"University College London","United Kingdom"
2009,22,"University of Michigan - Ann Arbor","United States"
2009,23,"Swiss Federal Institute of Technology Zurich","Switzerland"
2009,24,"Kyoto University","Japan"
2009,25,"University of Illinois at Urbana-Champaign","United States"
2009,26,"The Imperial College of Science","United Kingdom"
2009,27,"University of Toronto","Canada"
2009,28,"University of Minnesota","United States"
2009,29,"Washington University in St. Louis","United States"
2009,30,"Northwestern University","United States"
2009,31,"Duke University","United States"
2009,32,"New York University","United States"
2009,32,"Rockefeller University","United States"
2009,34,"University of Colorado at Boulder","United States"
2009,35,"University of California, Santa Barbara","United States"
2009,36,"University of British Columbia","Canada"
2009,37,"University of Maryland, College Park","United States"
2009,38,"The University of Texas at Austin","United States"
2009,39,"University of North Carolina at Chapel Hill","United States"
2009,40,"Pierre and Marie Curie University - Paris 6","France"
2009,41,"The University of Manchester","United Kingdom"
2009,41,"Vanderbilt University","United States"
2009,43,"University of Copenhagen","Denmark"
2009,43,"University of Paris Sud (Paris 11)","France"
2009,45,"Pennsylvania State University - University Park","United States"
2009,46,"University of California, Irvine","United States"
2009,46,"University of Southern California","United States"
2009,48,"The University of Texas Southwestern Medical Center at Dallas","United States"
2009,49,"University of California, Davis","United States"
2009,50,"Karolinska Institute","Sweden"
2009,50,"University of Pittsburgh","United States"
2009,52,"Utrecht University","Netherlands"
2009,53,"The University of Edinburgh","United Kingdom"
2009,54,"University of Zurich","Switzerland"
2009,55,"Rutgers","United States"
2009,55,"University of Munich","Germany"
2009,57,"Technical University Munich","Germany"
2009,58,"University of Florida","United States"
2009,59,"Carnegie Mellon University","United States"
2009,59,"The Australian National University","Australia"
2009,61,"University of Bristol","United Kingdom"
2009,62,"The Ohio State University - Columbus","United States"
2009,63,"University of Heidelberg","Germany"
2009,64,"The Hebrew University of Jerusalem","Israel"
2009,65,"King's College London","United Kingdom"
2009,65,"McGill University","Canada"
2009,65,"Purdue University - West Lafayette","United States"
2009,65,"University of Oslo","Norway"
2009,69,"Brown University","United States"
2009,70,"Ecole Normale Superieure - Paris","France"
2009,71,"Osaka University","Japan"
2009,72,"Leiden University","Netherlands"
2009,72,"University of Helsinki","Finland"
2009,74,"Boston University","United States"
2009,75,"University of Melbourne","Australia"
2009,76,"Uppsala University","Sweden"
2009,77,"Moscow State University","Russia"
2009,77,"University of Arizona","United States"
2009,77,"University of Rochester","United States"
2009,80,"University of Utah","United States"
2009,81,"The University of Sheffield","United Kingdom"
2009,82,"Nagoya University","Japan"
2009,83,"University of Nottingham","United Kingdom"
2009,84,"Tohoku University","Japan"
2009,85,"University of Basel","Switzerland"
2009,86,"Michigan State University","United States"
2009,87,"Case Western Reserve University","United States"
2009,88,"Stockholm University","Sweden"
2009,88,"Texas A&M University - College Station","United States"
2009,90,"University of Goettingen","Germany"
2009,91,"McMaster University","Canada"
2009,91,"University of Virginia","United States"
2009,93,"Indiana University Bloomington","United States"
2009,94,"Arizona State University - Tempe","United States"
2009,94,"University of Birmingham","United Kingdom"
